,ID,Name,RGB,Num Parts,Num Sets,First Year,Last Year,Link
77,41,Trans-Light Blue,AEEFEC,23007,6858,1985,2022,https://rebrickable.com/colors/41/trans-light-blue/
78,1032,Modulex Aqua Green,27867E,16,16,1963,1963,https://rebrickable.com/colors/1032/modulex-aqua-green/
79,323,Light Aqua,ADC3C0,4910,1515,2011,2022,https://rebrickable.com/colors/323/light-aqua/
80,118,Aqua,B3D7D1,321,130,1998,2006,https://rebrickable.com/colors/118/aqua/
81,288,Dark Green,184632,13314,3485,1999,2022,https://rebrickable.com/colors/288/dark-green/
82,62,Chrome Green,3CB371,2,2,1999,1999,https://rebrickable.com/colors/62/chrome-green/
83,74,Medium Green,73DCA1,402,291,1994,2005,https://rebrickable.com/colors/74/medium-green/
84,1071,Pearl Green,008E3C,20,14,2003,2006,https://rebrickable.com/colors/1071/pearl-green/
85,378,Sand Green,A0BCAC,14803,2711,2000,2022,https://rebrickable.com/colors/378/sand-green/
86,1078,Duplo Medium Green,468A5F,1,1,2003,2003,https://rebrickable.com/colors/1078/duplo-medium-green/
87,2,Green,237841,62481,19325,1949,2022,https://rebrickable.com/colors/2/green/
88,1058,Trans-Light Green,94E5AB,36,14,2005,2006,https://rebrickable.com/colors/1058/trans-light-green/
89,1079,Duplo Light Green,60BA76,0,0,,,https://rebrickable.com/colors/1079/duplo-light-green/
90,1060,Trans-Green Opal,84B68D,32,5,2021,2022,https://rebrickable.com/colors/1060/trans-green-opal/
91,34,Trans-Green,84B68D,4386,1937,1969,2022,https://rebrickable.com/colors/34/trans-green/
92,1042,Modulex Foil Dark Green,006400,0,0,,,https://rebrickable.com/colors/1042/modulex-foil-dark-green/
93,1009,Vintage Green,1E601E,32,8,1949,1949,https://rebrickable.com/colors/1009/vintage-green/
94,1077,Fabuland Lime,78FC78,16,15,1982,1986,https://rebrickable.com/colors/1077/fabuland-lime/
95,10,Bright Green,4B9F4A,13268,4208,1949,2022,https://rebrickable.com/colors/10/bright-green/
96,17,Light Green,C2DAB8,171,126,1992,2005,https://rebrickable.com/colors/17/light-green/
97,1030,Modulex Pastel Green,7DB538,34,33,1963,1963,https://rebrickable.com/colors/1030/modulex-pastel-green/
